Product,Category,Brand,Price,Seller_name,Average_Product_rating,Buyer_comments,Buyer_comment_title,Buyer_product_review
Black Candle Lantern- CS6,Home & Living,,Rs880,Laughing Buddha,0,,,
Silver Traditional Laxmi Ganesh Imaged Lotus Tea Light Holder ,Home & Living,,Rs1050,Archies Nepal,0,,,
Archies Brown Wooden Buddha Statue Decor,Home & Living,Archies,Rs3495,Archies Nepal,0,,,
Multicolored Fish Printed Coaster- 6 Pieces,Home & Living,,Rs350,Nepal Organic Club,0,,,
Yellow Floral Paper Mache Pen Holder,Home & Living,,Rs250,Nepal Organic Club,0,,,
Pro-Mark 5A Drum Sticks,"TVs, Audio & Cameras",Pro-Mark,Rs350,GuitarShop,5,,,
MINI HDMI2AV Siganal Converter HD Video Converter Mini HDMI to CVBS+R/L Audio Converter,"TVs, Audio & Cameras",,Rs1599,KpItSolution,0,,,
16 Holes Metal Mouth Harmonica With Box - Silver,"TVs, Audio & Cameras",,Rs700,Music Point,0,,,
Gorilla Pod Tripod (9 INCH) - Black,"TVs, Audio & Cameras",,Rs900,MICRONETICS,0,,,
Surprise Electric Guitar- Dark Brown,"TVs, Audio & Cameras",,Rs14000,Music Point,4.3,,,
GuitarShop Guitar- 265 Red with Free Guitar Bag & Pick,"TVs, Audio & Cameras",GuitarShop,Rs4895,GuitarShop,0,,,
32 in 1 Magnetic Screwdriver Tool Kit,Home & Living,,Rs250,e dokaan,5,,Good Tool,10
H96 MAX 4K TV Box,"TVs, Audio & Cameras",,Rs8950,Laxmi trade,5,,,
Purple Floral Wall Sticker,Home & Living,,Rs700,Mero Shopping,0,,,
Modern Rock Guitar Pattern Home Decor Wall Sticker,Home & Living,,Rs299,NewLifeStyle,0,,,
Archies Red Plastic 'My Heart Is Yours' Printed Table Clock,Home & Living,Archies,Rs1650,Archies Nepal,0,,,
Blue Frozen Snow Globe Showpiece,Home & Living,,Rs1400,Garima Gift and Flower,0,,,
Yellow/Brown Kitty Door Mat,Home & Living,,Rs399,Mero Shopping,0,,,
Golden Thai Girl With Drum Decoration Showpiece,Home & Living,,Rs4995,Archies Nepal,0,,,
Blue/Silver FC Barcelona Water Bottle - 1Ltr,Home & Living,,Rs750,Salim Sports International,0,,,
Archies White 'Love Bliss' Printed Showpiece,Home & Living,Archies,Rs1050,Archies Nepal,0,,,
IOTA H1 Water Tank Overflow Siren,Home & Living,IOTA,Rs999,Mero Shopping,0,,,
Archies Red/Green Swan Couple Bird Showpiece,Home & Living,Archies,Rs5200,Archies Nepal,0,,,
100 Pcs Stars Luminous Fluorescent Home Decor Wall Stickers- Sky Blue,Home & Living,,Rs250,NewLifeStyle,0,,,
Yellow Printed Smiley Mug Set,Home & Living,,Rs680,Garima Gift and Flower,0,,,
Brass Solid Singing Hand Hammered Bowl,Home & Living,,Rs5500,Nepal Organic Club,0,,,
Blue/Silver FC Chelsea Water Bottle - 1Ltr,Home & Living,,Rs750,Salim Sports International,0,,,
Multicolor Mt. Everest Ceramic Plate,Home & Living,,Rs1100,Crafts Souvenir,0,,,
IP Camera Wireless Surveillance Camera Wifi 720P Night Vision,"TVs, Audio & Cameras",,Rs2700,Best Choice,5,,,
Mantra Abstract Printed Guitar Strap - Black,"TVs, Audio & Cameras",Mantra,Rs500,GuitarShop,0,,,
GuitarShop Harmonica Holder,"TVs, Audio & Cameras",GuitarShop,Rs1250,GuitarShop,0,,,
"Samsung 40M5000 40"" Full HD TV - Black","TVs, Audio & Cameras",Samsung,Rs57000,Premium Home Appliances,5,,,
Music Night Lights Multifunctional Portable Smart Lamp with Speaker,"TVs, Audio & Cameras",,Rs1549,bestdeals,5,,,
Alesis Guitar Link Plus Audio Interface,"TVs, Audio & Cameras",Alesis,Rs3000,GuitarShop,0,,,
Grey The Praying Little Monk Bamboo Water Fountain ,Home & Living,,Rs4000,Archies Nepal,0,,,
1080p Display Port DP Male to HDMI DVI VGA RGB Female Video Converter Adapter Cable ,"TVs, Audio & Cameras",,Rs500,aarush31,0,,,
Soft Vision Ultra HD Waterproof Action Camera,"TVs, Audio & Cameras",Soft Vision,Rs2900,softvisionmultisolution,0,,,
Brown Ceramic Decorative Buddha Statue,Home & Living,,Rs600,Crafts Souvenir,0,,,
Nikon D5600 + AF-P 18-55 VR DSLR Camera (16 GB Card + Camera Bag+ Tripod) - Black,"TVs, Audio & Cameras",Nikon,Rs80000,gharkostore,0,,,
"IDEA JS5021DS 50"" Android Smart Full HD LED TV","TVs, Audio & Cameras",IDEA,Rs50500,UltimateElectronics,5,,CHEAP AS WELL AS GOOD,10
Rusty Golden Metal Big Ben Tower Showpiece,Home & Living,,Rs1500,Garima Gift and Flower,0,,,
Multicolored Floral Paper Mache Pen Holder,Home & Living,,Rs250,Nepal Organic Club,0,,,
Archies Red Plastic 'Spend With You' Printed Table Clock,Home & Living,Archies,Rs1650,Archies Nepal,0,,,
Archies Brown Ceramic Chelsea Printed Showpiece,Home & Living,Archies,Rs395,Archies Nepal,0,,,
High Quality Soldering Iron - 60W,Home & Living,,Rs350,Ghumti Pasal,0,,,
Pink Coaster- 6 Pieces,Home & Living,,Rs350,Nepal Organic Club,0,,,
Blue Round Coaster With Holder- 6 Pieces,Home & Living,,Rs690,Nepal Organic Club,0,,,
Black/Silver Metal Batman Scissor Showpiece,Home & Living,,Rs600,Garima Gift and Flower,0,,,
Red/Cream Floral Printed Door Mat,Home & Living,,Rs400,Mero Shopping,0,,,
Silicone Cover Protective Case Silicone Lens Cap for Gopro Hero 5,"TVs, Audio & Cameras",,Rs350,waiwaiparts,5,,,
"Hitachi LD4SY01A 42"" LED TV","TVs, Audio & Cameras",Hitachi,Rs40900,Inspirange Electronics,0,,,
"IDEA JS3921DS 39"" Android Smart Full HD LED TV","TVs, Audio & Cameras",IDEA,Rs35500,UltimateElectronics,0,,,
Joyo IronLoop Looper Guitar Effect Pedal Ironman-JF-329,"TVs, Audio & Cameras",Joyo,Rs9800,GuitarShop,0,,,
"Rowa 40D2710 40"" Full HD 1080p LED TV- Black","TVs, Audio & Cameras",Rowa,Rs35500,UltimateElectronics,0,,,
Ki KA14 Straight Sound Converter - Black,"TVs, Audio & Cameras",,Rs290,Deep Music,0,,,
Bicycle Bike Helmet Strap Mount for for Gopro,"TVs, Audio & Cameras",,Rs349,waiwaiparts,0,,,
"Cable Tie 6.0"" - (100 Pieces)","TVs, Audio & Cameras",,Rs150,ST Traders,0,,,
Dreammaker Guitar String- DM80,"TVs, Audio & Cameras",Dreammaker,Rs250,GuitarShop,0,,,
Wifi Night Vision HD CCTV IP Camera - Online Monitoring,"TVs, Audio & Cameras",,Rs2699,softvisionmultisolution,0,,,
Soft Vision 4K  Ultra HD Wi-Fi Sports Waterproof Action Camera,"TVs, Audio & Cameras",Soft Vision,Rs2950,softvisionmultisolution,3,,,
Archies White/Red Flower Decor Vase,Home & Living,Archies,Rs1050,Archies Nepal,0,,,
Archies Gold Plated Hearts Showpiece,Home & Living,Archies,Rs6000,Archies Nepal,0,,,
Kathmandu Durbar Square Ceramic Art Plate With Holder - Multicolored,Home & Living,,Rs1150,Handcraft,0,,,
Black Floral Paper Mache Pen Holder,Home & Living,,Rs250,Nepal Organic Club,0,,,
Multicolored Textured Skull Figured Mug,Home & Living,,Rs650,Garima Gift and Flower,0,,,
"Soundbrenner Pulse - Smart, Wearable & Vibrating Metronome- Black","TVs, Audio & Cameras",Soundbrenner,Rs6999,GuitarShop,0,,,
Black Leaf Ganesha Figured Tea/Candle Light Holder,Home & Living,,Rs1650,Archies Nepal,0,,,
Archies Green Plain Glass Flower Vase Decor,Home & Living,Archies,Rs395,Archies Nepal,0,,,
Archies Brown Wooden Friends Forever Photo Frame With Holder,Home & Living,Archies,Rs550,Archies Nepal,0,,,
Pro Universal Soft Mini Flash Bounce Diffuser Cap for On Camera or Off Camera Flash Gun,"TVs, Audio & Cameras",,Rs700,waiwaiparts,0,,,
3.5 mm Professional Condenser Sound Podcast Studio Microphone With Tripod Stand-SF-940 ,"TVs, Audio & Cameras",,Rs2499,e dokaan,0,,,
"IDEA 3221GS 32"" Smart Android LED TV","TVs, Audio & Cameras",IDEA,Rs27950,UltimateElectronics,0,,,
ZOOM G1X-On Guitar Effects Pedal With Expression - (Black),"TVs, Audio & Cameras",ZOOM,Rs11200,Music Point,0,,,
37mm UV Filter with Lens Cover For GoPro 3/3+/4,"TVs, Audio & Cameras",,Rs599,waiwaiparts,0,,,
"IDEA JS3221D 32"" Full HD LED TV","TVs, Audio & Cameras",IDEA,Rs21500,UltimateElectronics,0,,,
Smart Doorbell With IP Camera - (Blue/White),"TVs, Audio & Cameras",,Rs2900,Laxmi trade,0,,,
GuitarShop Alice Set of 5 Guitar Picks,"TVs, Audio & Cameras",GuitarShop,Rs200,GuitarShop,4,,Good one ,80
360 Panaromic Fisheye IP Surveillance Wifi Camera,"TVs, Audio & Cameras",,Rs4299,sastotrade,0,,,
"Sjcam SJ-4000 Wifi Action CAM 2.0"" With LCD Screen - (Black)","TVs, Audio & Cameras",Sjcam,Rs10500,Laxmi trade,5,,,
40m Waterproof Case for GoPro Hero 4  3+ 3,"TVs, Audio & Cameras",,Rs999,waiwaiparts,1,,,
4 USB Hexagon Power Socket Extension Plug Electrical Outlet,"TVs, Audio & Cameras",,Rs590,bestdeals,0,,,
Dark Brown Ceramic Decorative Buddha Statue,Home & Living,,Rs1500,Crafts Souvenir,0,,,
Archies Yellow/Blue Romantic Couple Dancing Statue Decor,Home & Living,Archies,Rs3500,Archies Nepal,0,,,
Archies White/Blue Solid Swan Couple Bird Showpiece,Home & Living,Archies,Rs1500,Archies Nepal,0,,,
Green Glass Textured Flower Vase,Home & Living,,Rs450,Garima Gift and Flower,0,,,
Water Spray Gun For Car/Bike,Home & Living,,Rs250,99 Tech,0,,,
Green Printed Coaster - 6 Pieces,Home & Living,,Rs350,Nepal Organic Club,0,,,
Black Resting Lord Ganesh Statue,Home & Living,,Rs350,Nepal Organic Club,0,,,
Orange Lord Ganesha Murti Figurine Decorative Showpiece ,Home & Living,,Rs3995,Archies Nepal,0,,,
Brass Decorative Hand Bell,Home & Living,,Rs1200,Nepal Organic Club,0,,,
Archies Orange Neroli Bergamot Soy Wax Indulgent Candle,Home & Living,Archies,Rs1250,Archies Nepal,0,,,
"Skyworth 32E2A12G 32"" HD LED TV - (Black)","TVs, Audio & Cameras",Skyworth,Rs33500,E City,0,,,
"Skyworth 49E5600 49"" 4K Ultra HD Smart LED TV","TVs, Audio & Cameras",Skyworth,Rs92500,E City,0,,,
"Skyworth 32S3A31T 32"" Smart LED TV - (Black)","TVs, Audio & Cameras",Skyworth,Rs36900,E City,0,,,
